Page,Edits,Editors,Views,Date
XXX (film series),0,0,2185792,May 2023
Hannah Waddingham,42,32,2180100,May 2023
Wimbledon Championships,110,58,2178805,July 2023
Sex,4,3,2178067,June 2023
Lionel Messi,109,40,2164557,August 2023
Katherine Oppenheimer,43,28,2152560,July 2023
XXX (film series),0,0,2146266,October 2023
Coco Gauff,187,93,2142307,September 2023
ChatGPT,20,14,2136737,October 2023
Bella Ramsey,73,48,2136412,March 2023
Kisi Ka Bhai Kisi Ki Jaan,366,59,2131556,April 2023
Ryan Gosling,33,16,2130505,July 2023
ChatGPT,39,22,2120546,September 2023
OSIRIS-REx,217,76,2120005,September 2023
XXX (film series),1,1,2116765,September 2023
XXX (film series),0,0,2096470,February 2023
Flipkart,11,7,2093317,July 2023
FIFA Women's World Cup,177,95,2083004,August 2023
Ahsoka (TV series),279,131,2082603,September 2023
Pathaan (film),210,66,2081237,March 2023
Guardians of the Galaxy Vol. 3,154,61,2076113,June 2023
Tom Cruise,16,16,2075460,July 2023
Tony Bennett,383,162,2070162,July 2023
Shazam! Fury of the Gods,545,236,2069524,March 2023
Taylor Swift,138,35,2064649,August 2023
The Super Mario Bros. Movie,364,118,2064138,May 2023
The Nun II,272,88,2062682,September 2023
Angus Cloud,96,66,2055570,August 2023
Daisy Jones & The Six,0,0,2041791,March 2023
XXX (film series),0,0,2031414,August 2023
Twitter,409,169,2028560,July 2023
Benjamin Netanyahu,46,32,2025546,October 2023
September 11 attacks,131,55,2025331,September 2023
Yevgeny Prigozhin,154,88,2023575,June 2023
Jimmy Carter,285,76,2020168,February 2023
Treat Williams,418,112,2008906,June 2023
Avatar: The Way of Water,171,53,2001230,February 2023
2023 Rugby World Cup,281,115,1999714,October 2023
Mike Johnson (Louisiana politician),0,0,1993370,October 2023
Saint Patrick's Day,174,112,1991218,March 2023
Facebook,10,9,1987819,September 2023
Alan Rickman,35,25,1987437,April 2023
The Flash (film),339,146,1987080,July 2023
Lionel Messi,83,40,1986903,July 2023
Extraction 2,206,105,1979651,June 2023
Kai the Hatchet-Wielding Hitchhiker,3,1,1977312,January 2023
India national cricket team,233,76,1975367,September 2023
Spider-Man: Into the Spider-Verse,149,93,1967717,June 2023
Cocaine Bear,356,134,1963352,February 2023
Instagram,7,7,1955529,April 2023
Independence Day (India),37,26,1948521,August 2023
XXXTentacion,25,11,1946548,May 2023
2023 Rugby World Cup,292,126,1944345,September 2023
Queen Charlotte: A Bridgerton Story,156,66,1940985,May 2023
Gadar 2,160,64,1940294,September 2023
Instagram,9,9,1936893,March 2023
Michael Jordan,21,15,1935051,May 2023
Brock Purdy,252,102,1934708,January 2023
Mother's Day,10,10,1929486,May 2023
Premier League,77,51,1927949,April 2023
Succession (TV series),239,69,1925872,April 2023
Everything Everywhere All at Once,267,119,1921021,January 2023
Glass Onion: A Knives Out Mystery,237,94,1920097,January 2023
XXXX (beer),23,20,1912585,July 2023
Super Bowl LVII,545,156,1910746,February 2023
Secret Invasion (TV series),0,0,1909240,July 2023
XXX (film series),1,1,1907780,April 2023
ChatGPT,54,28,1906589,August 2023
George Santos,1184,196,1906258,January 2023
Wednesday (TV series),112,52,1905140,January 2023
Bijou Phillips,111,55,1902737,September 2023
The Banshees of Inisherin,238,121,1901473,January 2023
Black Panther: Wakanda Forever,88,33,1901150,February 2023
Coco Lee,348,159,1895225,July 2023
Scream VI,693,163,1894324,March 2023
The Witcher (TV series),132,53,1892377,July 2023
Hogwarts Legacy,499,99,1892233,February 2023
Hezbollah,46,26,1884885,October 2023
Kevin McCarthy,304,137,1884451,January 2023
XXX: Return of Xander Cage,0,0,1884036,February 2023
2023 ICC World Test Championship final,247,52,1876874,June 2023
Travis Kelce,113,61,1875013,February 2023
Keanu Reeves,20,15,1864646,March 2023
Omegle,17,5,1860970,May 2023
Jerusalem,22,14,1855824,October 2023
Premier League,41,17,1852742,August 2023
Tu Jhoothi Main Makkaar,823,254,1852670,March 2023
Riley Keough,22,17,1851289,March 2023
Bob Barker,162,75,1851192,August 2023
Russell Brand,482,111,1847734,September 2023
Cristiano Ronaldo,80,24,1845784,March 2023
George Michael,28,15,1840186,July 2023
2023 Speaker of the United States House of Representatives election,0,0,1837032,January 2023
Christian Atsu,339,176,1834180,February 2023
Nikki Haley,258,101,1834107,February 2023
2023 FIBA Basketball World Cup,529,134,1831953,September 2023
Bernie Madoff,17,12,1831105,January 2023
Cocaine Bear,166,52,1829177,March 2023
Instagram,10,7,1822623,September 2023
Avatar (2009 film),50,22,1822328,January 2023
G20,177,108,1816629,September 2023
Wikipedia,62,29,1815488,January 2023
List of American films of 2023,253,61,1809867,February 2023
Jean Tatlock,35,21,1804463,July 2023
WrestleMania 39,686,146,1803371,March 2023
Twitter,160,100,1802531,August 2023
Website,1,1,1799628,March 2023
Lucy Letby,1095,212,1799347,August 2023
Wreck of the Titanic,178,121,1798661,June 2023
Bella Ramsey,184,94,1797752,January 2023
Meg 2: The Trench,370,184,1795238,August 2023
Guardians of the Galaxy Vol. 3,115,56,1794594,July 2023
Sidharth Malhotra,78,24,1794557,February 2023
Jenna Ortega,88,46,1793937,March 2023
XXXX (beer),25,22,1793639,April 2023
Saw X,471,148,1793594,October 2023
ASAP Rocky,10,8,1792439,February 2023
2023 Cricket World Cup,185,40,1789672,September 2023
LeBron James,53,35,1783605,May 2023
Cristiano Ronaldo,69,26,1777929,October 2023
2023 Asia Cup,335,109,1777619,August 2023
Nikola Jokić,137,37,1774056,May 2023
Tommy Fury,104,57,1765963,February 2023
Wikipedia,28,19,1764896,September 2023
Puss in Boots: The Last Wish,431,99,1763308,January 2023
2022 Asian Games,264,75,1754647,September 2023
XXXTentacion,22,13,1752937,January 2023
Cristiano Ronaldo,55,29,1749391,February 2023
Shahzada Dawood,458,180,1749083,June 2023
Cristiano Ronaldo,93,36,1743413,August 2023
The Pale Blue Eye,113,63,1741889,January 2023
Wikipedia,33,17,1741469,October 2023
Wikipedia,77,38,1739841,August 2023
Indiana Jones and the Dial of Destiny,490,199,1736860,June 2023
Chandrayaan-3,353,165,1734008,July 2023
Instagram,20,14,1729683,February 2023
Elemental (2023 film),375,114,1727626,June 2023
OceanGate,620,214,1727442,June 2023
Algebraic notation (chess),70,34,1723125,July 2023
One Piece,23,10,1722749,September 2023
Night of Champions (2023),693,191,1720735,May 2023
Kitty O'Neil,92,60,1719583,March 2023
Jon Jones,66,38,1719395,March 2023
Ted Lasso,167,90,1717277,May 2023
Thunivu,441,99,1716524,January 2023
Miley Cyrus,38,22,1716067,January 2023
Wikipedia,30,20,1715327,July 2023
Tom Sizemore,181,79,1714480,March 2023
Jane Birkin,395,134,1713109,July 2023
Robert De Niro,30,18,1709435,May 2023
